hhid,pid,w1_hhgeo,w1_hhsizer,w1_hhincome,w1_a_best_age_yrs,w1_a_b2,w1_a_n1_1,w1_a_n2_1,w1_quest_typ,w1_best_race
104471,312280,2,6,7924.3203,29,2,-8,-8,1,1
104476,312281,2,5,1481.6029,33,1,-8,-8,1,1
104476,312282,2,5,1481.6029,31,2,152,71.09999999999999,1,1
104474,312283,2,8,1647.733,17,2,144.8,44,1,1
104475,312284,2,5,1600,36,2,154.4,60.6,1,1
104475,312285,2,5,1600,37,1,171.5,53.6,1,1
104480,312286,2,9,4473.8301,32,1,160,39.9,1,1
104474,312287,2,8,1647.733,22,2,151,63.4,1,1
104480,312288,2,9,4473.8301,34,2,158,83.7,1,1
104483,312289,2,6,1290,67,2,171,72.59999999999999,1,1
104480,312290,2,9,4473.8301,21,1,-8,-8,1,1
104488,312291,2,5,1037.7769,55,2,152,78.7,1,1
104481,312292,2,5,1624.1807,49,2,157,88.09999999999999,1,1
104481,312293,2,5,1624.1807,15,2,156,55,1,1
104488,312294,2,5,1037.7769,22,2,154,72.09999999999999,1,1
104482,312296,2,9,2743.3274,37,2,158,98,1,1
170064,312318,1,8,3895.2412,21,,,,1,3
103559,312319,1,3,6082.4209,35,1,168.7,46.9,1,1
107089,312320,2,2,2743.3335,23,2,153.1,54.4,1,1
107089,312321,2,2,2743.3335,21,1,173.4,62.5,1,1
107088,312322,2,4,803.87506,29,2,150.5,48.9,1,1
107060,312323,2,1,1004.9868,32,1,166.5,60.1,1,1
113231,312324,2,3,3210.3293,26,1,161.2,62.8,1,1
107409,312325,2,1,2150,61,1,172.4,76.90000000000001,1,1
107399,312326,2,2,1984.6195,55,2,148.9,42.8,1,1
112027,312341,4,5,1407.7195,-9,,,,1,1
112786,312342,3,3,11150.92,17,1,162.4,43.6,1,2
170066,312343,1,5,11136.835,45,1,166.9,49.9,1,3
170061,312344,1,4,3301.2146,49,2,154,79.90000000000001,1,3
170061,312345,1,4,3301.2146,28,,,,1,3
170061,312346,1,4,3301.2146,26,1,167.6,81.90000000000001,1,3
103559,312347,1,3,6082.4209,22,2,160.1,76.09999999999999,1,1
105095,312348,3,3,16400,17,1,-8,-8,1,4
170287,312349,3,4,23517.488,41,1,-8,-3,1,3
170785,312350,3,2,3600,49,2,160,95.5,1,4
170063,312351,1,3,2000,20,2,151.7,41.5,1,1
170064,312352,1,8,3895.2412,43,2,156.8,63.8,1,3
104272,312353,3,3,2957.8564,42,2,155,76.59999999999999,1,1
104266,312354,3,8,2431.5544,15,2,-8,-8,1,1
104266,312355,3,8,2431.5544,41,2,-8,-8,1,1
104270,312358,3,3,1006.6927,21,1,167.1,41.7,1,1
104113,312359,2,10,3729.8892,36,2,159.1,92.2,1,1
104131,312360,2,5,1222.9264,48,2,157.4,45.2,1,1
104131,312361,2,5,1222.9264,17,1,177.5,63.4,1,1
104113,312362,2,10,3729.8892,44,1,170,58.3,1,1
104115,312363,2,7,3456.1807,38,2,146,87.7,1,1
104115,312364,2,7,3456.1807,24,1,174,74.59999999999999,1,1
104122,312365,2,4,1667.4851,16,2,167,65.2,1,1
103556,312366,1,3,4140.4287,25,,,,1,1
103551,312367,1,2,5743.5684,29,2,169,70,1,1
103551,312368,1,2,5743.5684,31,1,182,77.59999999999999,1,1
103556,312369,1,3,4140.4287,49,1,-8,-8,1,1
103552,312370,1,4,2200,24,2,154.6,60.2,1,1
103558,312371,1,5,1734.7825,25,2,170.5,67,1,1
103555,312372,1,1,3228.4202,41,1,176.8,111.3,1,1
104118,312373,2,3,1530,26,2,155.5,79.5,1,1
104167,312374,2,3,2620,41,2,147.3,67.09999999999999,1,1
104103,312375,2,7,1560,15,1,159.6,43.6,1,1
104168,312376,2,3,2071.0359,22,2,158.5,91.59999999999999,1,1
104168,312377,2,3,2071.0359,50,2,153.7,78.8,1,1
104113,312378,2,10,3729.8892,35,2,160,120.2,1,1
104112,312379,2,4,4351.7612,-9,1,-8,-8,1,1
104165,312380,2,4,759.2666,17,1,157.6,67.2,1,1
104112,312381,2,4,4351.7612,44,1,161.4,143.8,1,1
104114,312382,2,11,3717.9587,38,2,163.5,53.1,1,1
104114,312383,2,11,3717.9587,32,2,163.5,51.7,1,1
104114,312384,2,11,3717.9587,17,2,155.4,50.2,1,1
104114,312385,2,11,3717.9587,19,1,172.7,73,1,1
104112,312387,2,4,4351.7612,16,1,154.4,43,1,1
104165,312388,2,4,759.2666,37,2,143.8,85.59999999999999,1,1
104105,312389,2,6,2374.8586,19,,,,1,1
104117,312390,2,8,887.48273,17,,,,1,1
104115,312391,2,7,3456.1807,19,,,,1,1
103552,312392,1,4,2200,26,1,167.2,52.8,1,1
103558,312393,1,5,1734.7825,40,,,,1,1
104120,312394,2,5,1260.3334,65,1,160.4,60.4,1,1
104120,312395,2,5,1260.3334,19,2,156.6,73.09999999999999,1,1
104117,312396,2,8,887.48273,19,2,156.7,47,1,1
104116,312397,2,2,1561.4844,72,2,146.4,40.3,1,1
104116,312398,2,2,1561.4844,24,1,-8,-8,1,1
104122,312399,2,4,1667.4851,43,2,151,77.8,1,1
104121,312400,2,6,514.07452,-9,2,141,74.40000000000001,1,1
